analysis_id,641vbmh9af127gd
gene_accession_id,MGI:1915033
parameter_id,MGP_IMM_013_001
pvalue,0.1017571
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Ahctf1
parameter_name,Total CD8+ T cells - % of ab T cells
