parameter_name,Placenta Morphology
analysis_id,j5j51f784u0e1dp
gene_symbol,Atrn
mouse_strain,C57BL
parameter_id,IMPC_GPO_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1341628
pvalue,0.3841232
