parameter_name,CV
analysis_id,kxbf4b33859l0u3
mouse_strain,129SV
gene_symbol,Cntfr
mouse_life_stage,Early adult
pvalue,0.3423192
gene_accession_id,MGI:99605
parameter_id,IMPC_ECG_003_001
