gene_symbol,Sgip1
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Fat/Body weight
mouse_life_stage,Early adult
analysis_id,gr3q63840yv11z8
pvalue,0.2018859
parameter_id,JAXLA_DXA_009_001
