parameter_name,Red blood cell count
mouse_life_stage,Early adult
pvalue,0.6795092
gene_symbol,Morn5
analysis_id,w1085288d5to7e0
gene_accession_id,MGI:1922745
mouse_strain,C57BL
parameter_id,IMPC_HEM_002_001
