analysis_id,6d3b4709y6w843m
parameter_name,cDCs CD11b Type
gene_symbol,Clvs1
pvalue,0.2223376
mouse_life_stage,Early adult
gene_accession_id,MGI:1921688
mouse_strain,C57BL
parameter_id,IMPC_IMM_073_001
