analysis_id,cp393kf125n76bq
parameter_name,Aspartate aminotransferase
mouse_life_stage,Early adult
gene_symbol,Frmpd1
pvalue,0.5555915
mouse_strain,C57BL
parameter_id,IMPC_CBC_012_001
gene_accession_id,MGI:2446274
