analysis_id,jy788if40r33r83
Gene_accession_id,MGI:2674093
Pvalue,0.1285942
mouse_strain,C57BL
Mouse_life_stage,Early adult
parameter_name,Coat - hair distribution - head
parameter_id,IMPC_CSD_012_001
gene_symbol,Psd4
