mouse_life_stage,Late adult
pvalue,0.5712204
gene_accession_id,MGI:2446186
mouse_strain,C57BL
parameter_id,MGP_PBI_032_001
parameter_name,CD4+ KLRG1+ alpha beta T cell number
gene_symbol,Lpgat1
analysis_id,fmo58468g2k9fes
