parameter_name,Tremor
parameter_id,IMPC_CSD_030_001
gene_accession_id,MGI:2444554
pvalue,0.2078088
mouse_life_stage,E12.5
gene_symbol,Mapkap1
analysis_id,397u731v027fuk6
mouse_strain,C57BL
