analysis_id,ilot5dq976m844u
parameter_name,ST
pvalue,0.2289564
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
