parameter_name,Snout size
pvalue,0.88128
gene_accession_id,MGI:1918025
mouse_strain,129SV
mouse_life_stage,Early adult
analysis_id,0efn9p9w9wx0626
gene_symbol,ZMYND8
parameter_id,IMPC_CSD_028_001
