parameter_id,M-G-P_008_001_013
mouse_strain,C57BL
pvalue,0.1004067
parameter_name,Startle Response
gene_accession_id,MGI:3026886
analysis_id,dl12m812d6mb804
gene_symbol,Cdin1
mouse_life_stage,E9.5
