analysis_id,4w89bz77h683z32
parameter_name,Aspartate aminotransferase
gene_accession_id,MGI:109384
pvalue,0.3965381
parameter_id,IMPC_CBC_012_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Atf3
