gene_symbol,Gfi1b
analysis_id,zd6qd55e2tt1v42
gene_accession_id,MGI:1276578
parameter_name,Coat - color pattern - back
pvalue,0.7604277
mouse_life_stage,Early adult
parameter_id,HRWLLA_CSD_008_001
mouse_strain,C57BL
