parameter_name,Red blood cell count
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
pvalue,0.244206
gene_symbol,Stk35
parameter_id,IMPC_HEM_002_001
analysis_id,sk0hfv9rjr0698p
