analysis_id,wcwcge0kzv5yq8q
gene_symbol,Secisbp2l
parameter_name,Lean mass
pvalue,0.359196
gene_accession_id,MGI:1917604
mouse_strain,C57BL
parameter_id,JAXLA_DXA_003_001
mouse_life_stage,Early adult
