gene_symbol,Stk35
mouse_life_stage,Early adult
parameter_name,Lens Opacity
analysis_id,fwscmoskk74ul78
parameter_id,UCDLA_EYE_017_001
mouse_strain,C57BL
pvalue,0.07210186
gene_accession_id,MGI:1914583
