gene_symbol,Sprr1b
gene_accession_id,MGI:106659
analysis_id,1m670i18tj9s7s3
mouse_life_stage,Early adult
parameter_id,MGP_IMM_001_001
parameter_name,Total T cells - % of CD45+
mouse_strain,C57BL
pvalue,0.419139
