parameter_name,HDL-cholesterol
mouse_life_stage,Early adult
gene_symbol,Zc2hc1a
parameter_id,HMGULA_CBC_016_001
gene_accession_id,MGI:1914556
analysis_id,t33c298s3xte1tp
mouse_strain,C57BL
pvalue,0.6257004
