gene_symbol,Rnf114
parameter_id,MGP_IMM_006_001
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1933159
mouse_strain,C57BL
pvalue,0.5144088
analysis_id,m6295877b4s4d8x
mouse_life_stage,Early adult
