analysis_id,37ow2e6yt27d89k
gene_symbol,Eprs1
parameter_name,Shape of vertebrae
parameter_id,IMPC_XRY_018_001
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
mouse_strain,C57BL
pvalue,0.9357928
