analysis_id,7p71jc1itr475l3
gene_symbol,AU040320
gene_accession_id,MGI:2140475
parameter_id,HMGULA_CBC_005_001
pvalue,0.990653
mouse_strain,C57BL
parameter_name,Creatinine
mouse_life_stage,Early adult
