analysis_id,4f931x932q96y65
parameter_id,IMPC_XRY_027_001
pvalue,0.9801596
gene_symbol,Slc28a2
parameter_name,Joints
mouse_strain,C57BL
gene_accession_id,MGI:1913105
mouse_life_stage,Early adult
