parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
analysis_id,1tehenmnnpdr299
pvalue,0.05910413
parameter_name,Shape of ribcage
gene_symbol,Traf6
mouse_life_stage,Early adult
gene_accession_id,MGI:108072
