gene_symbol,Sass6
mouse_life_stage,E12.5
gene_accession_id,MGI:1920026
analysis_id,6210tofpugtr292
parameter_id,MGP_PBI_040_001
mouse_strain,C57BL
pvalue,0.8992132
parameter_name,Eosinophil number
