gene_symbol,Toporsl
pvalue,0.3508461
parameter_id,IMPC_GEL_017_002
analysis_id,4934916vrrm5ua6
mouse_strain,C57BL
parameter_name,Pale yolk sac
gene_accession_id,MGI:1915524
mouse_life_stage,Early adult
