analysis_id,0688907sg27e652
mouse_life_stage,E9.5
gene_symbol,Wars2
mouse_strain,C57BL
gene_accession_id,MGI:1917810
pvalue,0.6418089
parameter_id,MGP_PBI_019_001
parameter_name,Neutrophil percentage
