analysis_id,8e58q3kqh6zy5uq
mouse_life_stage,Late adult
parameter_name,Thoracic processes
mouse_strain,C57BL
gene_accession_id,MGI:1917604
pvalue,0.8082759
gene_symbol,Secisbp2l
parameter_id,IMPC_XRY_064_001
