analysis_id,8f6bd583pon2665
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_039_001
parameter_name,Large Unstained Cell (LUC) count
gene_symbol,Ift74
gene_accession_id,MGI:1914944
pvalue,0.671661
