analysis_id,5pwaay4siy36r4p
mouse_life_stage,Early adult
gene_symbol,Arpc5l
parameter_name,Periphery resting time
gene_accession_id,MGI:1921442
parameter_id,IMPC_OFD_011_001
mouse_strain,C57BL
pvalue,0.285814
