analysis_id,80704k61r09g166
pvalue,0.187725
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
mouse_life_stage,Early adult
parameter_id,IMPC_OFD_018_001
mouse_strain,C57BL
parameter_name,Latency to center entry
