analysis_id,019o9f6302o6479
mouse_life_stage,Early adult
parameter_name,Snout size
pvalue,0.1934221
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
mouse_strain,C57BL
parameter_id,IMPC_CSD_028_001
