parameter_name,Heart looping
parameter_id,IMPC_GEL_057_001
pvalue,0.1728813
mouse_life_stage,Early adult
gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
analysis_id,18y4989m2hy971u
mouse_strain,C57BL
