parameter_id,TCPLA_GRS_011_001
analysis_id,23mfurglq09ve02
gene_accession_id,MGI:1913506
mouse_strain,C57BL
gene_symbol,Ssr2
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
pvalue,0.7476886
