gene_symbol,Dmap1
analysis_id,3fxpg6n51pr2c9u
mouse_life_stage,E9.5
gene_accession_id,MGI:1913483
mouse_strain,C57BL
parameter_id,IMPC_EYE_059_001
pvalue,0.4146307
parameter_name,Mean right eye lens density
