analysis_id,0ln0xp01f17oce3
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Resting CD8+ T cells - % of CD8+
gene_symbol,Lurap1
Parameter_id,MGP_MLN_014_001
pvalue,0.2670618
gene_accession_id,MGI:1915325
