parameter_id,IMPC_OFD_016_001
gene_accession_id,MGI:108072
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,za1z09946or1m8c
gene_symbol,Traf6
pvalue,0.647686
parameter_name,Center permanence time
