analysis_id,e53l214hqn90of5
gene_accession_id,MGI:2444113
mouse_strain,C57BL
gene_symbol,Nemp2
pvalue,0.7638079
parameter_id,IMPC_XRY_002_001
mouse_life_stage,Early adult
parameter_name,Zygomatic bone
