parameter_name,Mean cell hemoglobin concentration
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.2402592
mouse_strain,C57BL
gene_symbol,Wars2
analysis_id,8j8u1h7sei4tq30
parameter_id,IMPC_HEM_007_001
