parameter_name,Retina (combined)
mouse_strain,C57BL
gene_symbol,Rhbg
parameter_id,JAXLA_EYE_092_001
gene_accession_id,MGI:1927379
analysis_id,af9sel17wq7xj97
mouse_life_stage,Early adult
pvalue,0.9120997
