gene_symbol,Atf3
gene_accession_id,MGI:109384
parameter_name,Placenta Size
mouse_life_stage,Early adult
parameter_id,IMPC_GPP_004_001
mouse_strain,C57BL
pvalue,0.4362323
analysis_id,95mb442727h2x91
