analysis_id,i07u7670vjs476l
gene_accession_id,MGI:1913483
parameter_name,Periphery permanence time
pvalue,0.5386341
parameter_id,IMPC_OFD_012_001
gene_symbol,Dmap1
mouse_life_stage,Early adult
mouse_strain,C57BL
