analysis_id,e1f8h4f627rz17j
parameter_id,IMPC_CBC_006_001
mouse_strain,C57BL
gene_symbol,Bmi1
gene_accession_id,MGI:88174
mouse_life_stage,E12.5
pvalue,0.1592557
parameter_name,Total protein
