gene_symbol,Inpp1
pvalue,0.3562041
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Basophil differential count
gene_accession_id,MGI:104848
analysis_id,mw7674d6tp25cab
parameter_id,IMPC_HEM_038_001
