parameter_name,Lymphocyte differential count
parameter_id,IMPC_HEM_031_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1917810
analysis_id,h9srh8l5j08u167
pvalue,0.2742463
gene_symbol,Wars2
mouse_strain,C57BL
