analysis_id,r3a4e5h3505xi02
gene_accession_id,MGI:2140475
gene_symbol,AU040320
parameter_name,Vocalization
mouse_strain,C57BL
parameter_id,IMPC_CSD_078_001
mouse_life_stage,Early adult
pvalue,0.7375542
