analysis_id,97oq9h2m9k82fpp
parameter_name,center - resting time
gene_symbol,Eprs1
parameter_id,M-G-P_007_001_011
gene_accession_id,MGI:97838
mouse_life_stage,Early adult
pvalue,0.977504
mouse_strain,C57BL
