mouse_strain,129SV
pvalue,0.5734646
gene_symbol,Nipal3
mouse_life_stage,Early adult
parameter_name,Resting CD4+ T helper cells - % of CD45+
analysis_id,m0566l44fzv7g60
parameter_id,MGP_IMM_074_001
gene_accession_id,MGI:1921802
