analysis_id,461qcki791eafb7
pvalue,0.2449892
mouse_strain,C57BL
mouse_life_stage,Middle aged adult
parameter_id,MGP_CSD_030_001
parameter_name,Limb coat/hair presence
gene_accession_id,MGI:109356
gene_symbol,Snap23
