parameter_name,Periphery resting time
analysis_id,g83tj5p6rqq83n7
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:1860103
pvalue,0.4923864
gene_symbol,Slc2a8
parameter_id,HRWLLA_OFD_011_001
