parameter_id,JAX_OFD_012_001
pvalue,0.4383982
mouse_life_stage,E15.5
gene_accession_id,MGI:95457
analysis_id,6730270p856160y
mouse_strain,C57BL
parameter_name,Periphery permanence time
gene_symbol,Mecom
