parameter_name,HDL-cholesterol
analysis_id,167475ce51fmh1w
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_016_001
mouse_strain,C57BL
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
pvalue,0.8488346
