analysis_id,bm96un118jr7817
gene_accession_id,MGI:1914071
mouse_life_stage,Early adult
pvalue,0.4988758
mouse_strain,C57BL
parameter_name,CD103+ CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_131_001
gene_symbol,Bcs1l
