analysis_id,9cd428a8y4e6e17
parameter_name,Bone Mineral Content
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
pvalue,0.8560485
parameter_id,ESLIM_005_001_005
