analysis_id,t3r60ij0hd543bn
mouse_strain,C57BL
parameter_id,IMPC_IMM_047_001
parameter_name,DN CD44+CD62L+ NKT cells
gene_symbol,Tnni1
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
pvalue,0.9274753
