parameter_name,Lean mass
gene_accession_id,MGI:1309468
analysis_id,4bv16i8h94wcad5
pvalue,0.3934685
mouse_strain,C57BL
gene_symbol,Casq1
mouse_life_stage,Early adult
parameter_id,IMPC_DXA_003_001
