analysis_id,4l8i93dr5pa624s
mouse_strain,C57BL
pvalue,0.3895322
parameter_id,IMPC_ABR_006_001
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
parameter_name,12kHz-evoked ABR Threshold
mouse_life_stage,Early adult
