parameter_name,Neutrophil percentage
mouse_life_stage,Early adult
analysis_id,0702271cnz1i360
parameter_id,MGP_PBI_019_001
mouse_strain,C57BL
gene_accession_id,MGI:1915087
pvalue,0.5437624
gene_symbol,Tiprl
