parameter_id,IMPC_IPG_010_001
mouse_life_stage,Early adult
pvalue,0.7879161
analysis_id,3021k1080y63rk6
gene_accession_id,MGI:2446274
mouse_strain,C57BL
parameter_name,Fasted blood glucose concentration
gene_symbol,Frmpd1
