analysis_id,8262yjnk5gw8krb
gene_symbol,Npbwr1
mouse_strain,C57BL
pvalue,0.9146846
parameter_id,ESLIM_011_001_006
gene_accession_id,MGI:891989
mouse_life_stage,Early adult
parameter_name,110dB startle magnitude
