parameter_id,MGP_MLN_076_001
gene_symbol,Pglyrp3
pvalue,0.6459939
parameter_name,Naive CD8+ T cells - % of CD45+
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,4ea9y5345bbci11
gene_accession_id,MGI:2685266
