analysis_id,933qvr447149v8g
parameter_id,M-G-P_009_001_003
gene_symbol,Mecom
gene_accession_id,MGI:95457
parameter_name,Body weight
pvalue,0.7938787
mouse_life_stage,E15.5
mouse_strain,C57BL
