gene_symbol,Abo
pvalue,0.3596526
parameter_id,IMPC_OFD_021_001
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Number of rears - total
analysis_id,upchq93yb51m858
gene_accession_id,MGI:2135738
